0 1 2 3 4 5 6 0.201595 
0 1 2 3 4 5 7 0.202134 
0 1 2 3 4 5 8 0.202442 
0 1 2 3 4 5 9 0.202621 
0 1 2 3 4 5 10 0.203162 
0 1 2 3 4 5 11 0.203801 
0 1 2 3 4 5 12 0.205759 
0 1 2 3 4 5 13 0.204303 
0 1 2 3 4 5 14 0.203918 
0 1 2 3 4 5 15 0.203779 
0 1 2 3 4 5 16 0.204085 
0 1 2 3 4 5 17 0.204476 
0 1 2 3 4 5 18 0.199073 
0 1 2 3 4 5 19 0.200713 
0 1 2 3 4 5 20 0.201466 
0 1 2 3 4 5 21 0.201854 
0 1 2 3 4 5 22 0.202563 
0 1 2 3 4 5 23 0.203371 
0 1 2 3 4 5 24 0.206148 
0 1 2 3 4 5 25 0.204531 
0 1 2 3 4 5 26 0.204077 
0 1 2 3 4 5 27 0.203906 
0 1 2 3 4 5 28 0.204188 
0 1 2 3 4 5 29 0.204552 
0 1 2 3 4 5 30 0.206827 
0 1 2 3 4 5 31 0.20497 
0 1 2 3 4 5 32 0.204389 
0 1 2 3 4 5 33 0.204155 
0 1 2 3 4 5 34 0.20439 
0 1 2 3 4 5 35 0.204704 
0 1 2 3 4 5 36 0.196764 
0 1 2 3 4 5 37 0.199368 
0 1 2 3 4 5 38 0.200674 
0 1 2 3 4 5 39 0.201328 
0 1 2 3 4 5 40 0.202263 
0 1 2 3 4 5 41 0.203203 
0 1 2 3 4 5 42 0.196154 
0 1 2 3 4 5 43 0.198386 
0 1 2 3 4 5 44 0.19996 
0 1 2 3 4 5 45 0.200784 
0 1 2 3 4 5 46 0.201888 
0 1 2 3 4 5 47 0.202955 
0 1 2 3 4 6 7 0.201706 
0 1 2 3 4 6 8 0.201657 
0 1 2 3 4 6 9 0.201651 
0 1 2 3 4 6 10 0.201621 
0 1 2 3 4 6 11 0.201545 
0 1 2 3 4 6 12 0.193211 
0 1 2 3 4 6 13 0.199474 
0 1 2 3 4 6 14 0.200318 
0 1 2 3 4 6 15 0.200811 
0 1 2 3 4 6 16 0.201072 
0 1 2 3 4 6 17 0.201641 
0 1 2 3 4 6 18 0.192156 
0 1 2 3 4 6 19 0.200767 
0 1 2 3 4 6 20 0.201506 
0 1 2 3 4 6 21 0.201652 
0 1 2 3 4 6 22 0.201712 
0 1 2 3 4 6 23 0.201564 
0 1 2 3 4 6 24 0.193478 
0 1 2 3 4 6 25 0.199148 
0 1 2 3 4 6 26 0.200111 
0 1 2 3 4 6 27 0.200676 
0 1 2 3 4 6 28 0.200986 
0 1 2 3 4 6 29 0.201657 
0 1 2 3 4 6 30 0.194095 
0 1 2 3 4 6 31 0.198546 
0 1 2 3 4 6 32 0.199695 
0 1 2 3 4 6 33 0.200395 
0 1 2 3 4 6 34 0.200804 
0 1 2 3 4 6 35 0.201687 
